192233; 3.47e-11
193497; 3.92e-11
194334; 3.93e-10
195073; 3.47e-11
195023; 3.92e-11
195434; 3.93e-10
195491; 3.47e-11
195824; 3.92e-11
195604; 3.93e-10
195390; 1.59e-13
195627; 4.72e-13
195611; 3.85e-12
195959; 1.59e-13
196548; 4.72e-13
197061; 3.85e-12
197902; 1.59e-13
198612; 4.72e-13
198250; 3.85e-12
197725; 2.65e-14
197979; 2.65e-14
198443; 2.65e-14
197812; 2.65e-14
198442; 2.65e-14
198669; 2.65e-14
198232; 2.65e-14
198397; 2.65e-14
198463; 2.65e-14
201025; 3.48e-03
201515; 3.95e-03
201755; 4.12e-02
201709; 3.48e-03
201724; 3.95e-03
201081; 4.12e-02
200536; 3.48e-03
200178; 3.95e-03
201259; 4.12e-02
200551; 3.46e-05
200469; 3.93e-05
200455; 3.93e-04
200364; 3.46e-05
200142; 3.93e-05
200416; 3.93e-04
200766; 3.46e-05
200627; 3.93e-05
200447; 3.93e-04
200394; 4.33e-07
200609; 4.92e-07
203153; 4.92e-06
202586; 4.33e-07
200627; 4.92e-07
202433; 4.92e-06
199465; 4.33e-07
197404; 4.92e-07
196403; 4.92e-06
